resolver      	  top-1	  top-2	  top-3
8.8.8.8       	     37	      9	      2
1.1.1.1       	     10	     24	     13
84.200.69.80  	      3	     14	     13
9.9.9.9       	      0	      0	      4
195.243.214.4 	      0	      2	      9
81.27.162.100 	      0	      0	      2
159.69.114.157	      0	      0	      6
46.182.19.48  	      0	      1	      1
