resolver       	  top-1	  top-2	  top-3
190.151.144.21 	      3	      2	      9
170.80.173.44  	      1	      1	      4
1.1.1.1        	     16	     25	      5
8.8.8.8        	     29	     10	      2
9.9.9.9        	      0	      1	      1
190.103.86.147 	      0	      3	      0
170.150.153.222	      1	      8	     28
181.16.234.72  	      0	      0	      1
